315
[192Os]+	191.96094	191.89633	192.02554
[193Ir]+	192.96239	192.89745	193.02733
[194Pt]+	193.96213	193.89687	194.02739
[195Pt]+	194.96423	194.89865	195.02982
[196Pt]+	195.96440	195.89850	196.03030
[196Hg]+	195.96529	195.89938	196.03119
[197Au]+	196.96602	196.89980	197.03224
[198Hg]+	197.96622	197.89967	198.03278
[198Pt]+	197.96735	197.90080	198.03391
[199Hg]+	198.96773	198.90086	199.03461
[200Hg]+	199.96777	199.90057	200.03496
[201Hg]+	200.96976	200.90225	201.03728
[202Hg]+	201.97009	201.90225	202.03793
[203Tl]+	202.97180	202.90364	203.03996
[204Pb]+	203.97250	203.90402	204.04099
[204Hg]+	203.97295	203.90446	204.04144
[205Tl]+	204.97388	204.90508	205.04269
[206Pb]+	205.97392	205.90479	206.04305
[207Pb]+	206.97536	206.90590	207.04482
[208Pb]+	207.97610	207.90633	208.04588
[209Bi]+	208.97984	208.90973	209.04996
[220Bkg]+	220.00000	219.92632	220.07368
[232Th]+	232.03751	231.95988	232.11513
[234U]+	234.04041	233.96213	234.11868
[235U]+	235.04338	234.96477	235.12199
[238U]+	238.05025	237.97066	238.12985
ThO+	248.03242	247.94954	248.11530
UO+	254.04515	253.96030	254.13000
